entry_time,exit_time,type,entry_price,exit_price,pnl,reason,cum_pnl
2026-04-03 08:05:00,2026-04-03 08:15:00,BULL,1255.73,1263.64036082339,31.64144329355986,TP,15248.843899789867
2026-04-03 08:20:00,2026-04-03 08:25:00,BULL,1258.94,1266.8106103239752,31.48244129590057,TP,15280.326341085767
2026-04-03 08:30:00,2026-04-03 08:50:00,BULL,1268.95,1264.623704961502,-17.305180153992296,SL,15263.021160931774
2026-04-03 09:10:00,2026-04-03 09:15:00,BULL,1265.26,1272.663860888244,29.615443552976103,TP,15292.63660448475
2026-04-03 09:55:00,2026-04-03 10:00:00,BULL,1264.68,1273.5373353384377,35.429341353750715,TP,15328.0659458385
2026-04-03 10:05:00,2026-04-03 10:20:00,BULL,1272.63,1268.0578434615636,-18.28862615374601,SL,15309.777319684754
2026-04-03 10:40:00,2026-04-03 10:45:00,BULL,1262.56,1271.6222308022918,36.248923209167515,TP,15346.02624289392
2026-04-03 10:50:00,2026-04-03 11:00:00,BEAR,1269.99,1261.2579234408809,34.9283062364766,TP,15380.954549130398
2026-04-03 11:10:00,2026-04-03 11:25:00,BULL,1255.81,1264.500563739197,34.76225495678864,TP,15415.716804087187
2026-04-03 11:30:00,2026-04-03 11:55:00,BULL,1264.16,1259.5823942922516,-18.310422830993957,SL,15397.406381256194
2026-04-03 12:10:00,2026-04-03 12:25:00,BULL,1256.36,1251.9830012788593,-17.507994884562322,SL,15379.898386371631
2026-04-03 12:40:00,2026-04-03 13:05:00,BULL,1251.62,1259.4721326295564,31.408530518226144,TP,15411.306916889858
2026-04-03 13:20:00,2026-04-03 13:45:00,BEAR,1272.59,1276.9717067532783,-17.52682701311369,SL,15393.780089876745
2026-04-03 13:50:00,2026-04-03 14:00:00,BULL,1275.46,1271.3547648056156,-16.420940777537908,SL,15377.359149099208
2026-04-03 14:10:00,2026-04-03 14:25:00,BULL,1272.18,1268.0958755495935,-16.336497801626138,SL,15361.022651297582
2026-04-03 14:30:00,2026-04-03 14:35:00,BULL,1268.86,1276.505733402724,30.58293361089636,TP,15391.605584908479
2026-04-03 14:40:00,2026-04-03 14:45:00,BULL,1279.57,1275.3922732915623,-16.710906833750414,SL,15374.894678074728
2026-04-03 14:50:00,2026-04-03 15:10:00,BULL,1281.34,1277.0701233993573,-17.079506402570587,SL,15357.815171672159
2026-04-03 15:15:00,2026-04-03 15:20:00,BULL,1270.47,1279.3711124624547,35.60444984981859,TP,15393.419621521978
